Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1969,05,121.2,Y
IDCJAC0001,033119,1969,06,103.7,Y
IDCJAC0001,033119,1969,07,50.6,Y
IDCJAC0001,033119,1969,08,9.8,Y
IDCJAC0001,033119,1969,09,0.6,Y
IDCJAC0001,033119,1969,10,43.0,Y
IDCJAC0001,033119,1969,11,36.9,Y
IDCJAC0001,033119,1969,12,225.3,Y
IDCJAC0001,033119,1970,01,293.0,Y
IDCJAC0001,033119,1970,02,568.4,Y
IDCJAC0001,033119,1970,03,191.3,Y
IDCJAC0001,033119,1970,04,88.9,Y
IDCJAC0001,033119,1970,05,27.3,Y
IDCJAC0001,033119,1970,06,19.4,Y
IDCJAC0001,033119,1970,07,17.8,Y
IDCJAC0001,033119,1970,08,29.0,Y
IDCJAC0001,033119,1970,09,7.1,Y
IDCJAC0001,033119,1970,10,47.6,Y
IDCJAC0001,033119,1970,11,93.8,Y
IDCJAC0001,033119,1970,12,318.0,Y
IDCJAC0001,033119,1971,01,379.8,Y
IDCJAC0001,033119,1971,02,416.7,Y
IDCJAC0001,033119,1971,03,184.4,Y
IDCJAC0001,033119,1971,04,121.5,Y
IDCJAC0001,033119,1971,05,15.8,Y
IDCJAC0001,033119,1971,06,41.0,Y
IDCJAC0001,033119,1971,07,68.2,Y
IDCJAC0001,033119,1971,08,23.8,Y
IDCJAC0001,033119,1971,09,4.9,Y
IDCJAC0001,033119,1971,10,6.5,Y
IDCJAC0001,033119,1971,11,68.7,Y
IDCJAC0001,033119,1971,12,226.6,Y
IDCJAC0001,033119,1972,01,478.5,Y
IDCJAC0001,033119,1972,02,785.5,Y
IDCJAC0001,033119,1972,03,157.4,Y
IDCJAC0001,033119,1972,04,64.1,Y
IDCJAC0001,033119,1972,05,98.0,Y
IDCJAC0001,033119,1972,06,36.3,Y
IDCJAC0001,033119,1972,07,5.1,Y
IDCJAC0001,033119,1972,08,2.3,Y
IDCJAC0001,033119,1972,09,12.4,Y
IDCJAC0001,033119,1972,10,0.0,Y
IDCJAC0001,033119,1972,11,97.8,Y
IDCJAC0001,033119,1972,12,5.9,Y
IDCJAC0001,033119,1973,01,235.3,Y
IDCJAC0001,033119,1973,02,329.1,Y
IDCJAC0001,033119,1973,03,317.1,Y
IDCJAC0001,033119,1973,04,193.6,Y
IDCJAC0001,033119,1973,05,57.5,Y
IDCJAC0001,033119,1973,06,30.8,Y
IDCJAC0001,033119,1973,07,62.8,Y
IDCJAC0001,033119,1973,08,7.4,Y
IDCJAC0001,033119,1973,09,28.5,Y
IDCJAC0001,033119,1973,10,101.8,Y
IDCJAC0001,033119,1973,11,132.8,Y
IDCJAC0001,033119,1973,12,270.7,Y
IDCJAC0001,033119,1974,01,1034.0,Y
IDCJAC0001,033119,1974,02,96.2,Y
IDCJAC0001,033119,1974,03,566.6,Y
IDCJAC0001,033119,1974,04,9.2,Y
IDCJAC0001,033119,1974,05,166.4,Y
IDCJAC0001,033119,1974,06,2.4,Y
IDCJAC0001,033119,1974,07,2.0,Y
IDCJAC0001,033119,1974,08,42.6,Y
IDCJAC0001,033119,1974,09,45.8,Y
IDCJAC0001,033119,1974,10,11.6,Y
IDCJAC0001,033119,1974,11,195.4,Y
IDCJAC0001,033119,1974,12,135.2,Y
IDCJAC0001,033119,1975,01,428.2,Y
IDCJAC0001,033119,1975,02,137.4,Y
IDCJAC0001,033119,1975,03,316.8,Y
