Crops,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22 s,2022–23 f
Area,388.7,463,533.9,551.5,639.5,492.3,627.5,584.7,618.1,568.1,585.3,693.2,700.1,777.5,871.6,924.3,866.5,913,1 106.9,1 136.1,976.3,801.6,831.2,854.1,918.7,916.1,844.5,946.1,843.7,892.8,1 101.7,1 011.9,870.2,820
Production,696,650.6,897.9,1 116.3,1 386.2,448.1,1 341.7,1 189.4,928.3,869.8,1 189.3,1 670.5,1 655.7,478.4,2 274.5,1 305.1,2 003.6,604.5,1 789.2,1 461.4,1 864.5,1 944.9,2 005.1,1 952.2,2 035.8,1 373.8,1 107.4,3 082.9,2 109.7,1 337.3,3 116.6,2 918.5,2 270.5,2 895.7
