Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,88023,2017,10,7.7,Y
IDCJAC0004,88023,2017,11,11.7,Y
IDCJAC0004,88023,2017,12,12.9,Y
IDCJAC0004,88023,2018,01,14.3,Y
IDCJAC0004,88023,2018,02,13.1,Y
IDCJAC0004,88023,2018,03,10.0,Y
IDCJAC0004,88023,2018,04,8.2,Y
IDCJAC0004,88023,2018,05,5.9,Y
IDCJAC0004,88023,2018,06,3.2,Y
IDCJAC0004,88023,2018,07,3.9,Y
IDCJAC0004,88023,2018,08,4.0,Y
IDCJAC0004,88023,2018,09,3.9,Y
IDCJAC0004,88023,2018,10,7.5,Y
IDCJAC0004,88023,2018,11,9.3,Y
IDCJAC0004,88023,2018,12,11.5,Y
IDCJAC0004,88023,2019,01,13.8,Y
IDCJAC0004,88023,2019,02,12.2,Y
IDCJAC0004,88023,2019,03,11.5,Y
IDCJAC0004,88023,2019,04,8.6,Y
IDCJAC0004,88023,2019,05,6.9,Y
IDCJAC0004,88023,2019,06,3.1,Y
IDCJAC0004,88023,2019,07,4.8,Y
IDCJAC0004,88023,2019,08,3.4,Y
IDCJAC0004,88023,2019,09,5.7,Y
IDCJAC0004,88023,2019,10,7.4,Y
IDCJAC0004,88023,2019,11,8.0,Y
IDCJAC0004,88023,2019,12,11.2,Y
IDCJAC0004,88023,2020,01,12.5,Y
IDCJAC0004,88023,2020,02,13.4,Y
IDCJAC0004,88023,2020,03,9.8,Y
IDCJAC0004,88023,2020,04,8.4,Y
IDCJAC0004,88023,2020,05,4.9,Y
IDCJAC0004,88023,2020,06,4.1,Y
IDCJAC0004,88023,2020,07,3.3,Y
IDCJAC0004,88023,2020,08,4.7,Y
IDCJAC0004,88023,2020,09,6.3,Y
IDCJAC0004,88023,2020,10,9.0,Y
IDCJAC0004,88023,2020,11,11.2,Y
IDCJAC0004,88023,2020,12,10.4,Y
IDCJAC0004,88023,2021,01,13.3,Y
IDCJAC0004,88023,2021,02,12.1,Y
IDCJAC0004,88023,2021,03,9.8,Y
IDCJAC0004,88023,2021,04,7.1,Y
IDCJAC0004,88023,2021,05,5.7,Y
IDCJAC0004,88023,2021,06,5.0,Y
IDCJAC0004,88023,2021,07,4.6,Y
IDCJAC0004,88023,2021,08,5.4,Y
IDCJAC0004,88023,2021,09,6.3,Y
IDCJAC0004,88023,2021,10,7.2,Y
IDCJAC0004,88023,2021,11,10.2,Y
IDCJAC0004,88023,2021,12,11.5,Y
IDCJAC0004,88023,2022,01,16.7,Y
IDCJAC0004,88023,2022,02,13.1,Y
IDCJAC0004,88023,2022,03,12.3,Y
IDCJAC0004,88023,2022,04,10.2,Y
IDCJAC0004,88023,2022,05,6.3,Y
IDCJAC0004,88023,2022,06,5.5,Y
IDCJAC0004,88023,2022,07,2.3,Y
IDCJAC0004,88023,2022,08,5.5,Y
IDCJAC0004,88023,2022,09,6.3,Y
IDCJAC0004,88023,2022,10,9.1,Y
IDCJAC0004,88023,2022,11,9.1,Y
IDCJAC0004,88023,2022,12,11.0,Y
IDCJAC0004,88023,2023,01,14.3,Y
IDCJAC0004,88023,2023,02,12.3,Y
IDCJAC0004,88023,2023,03,11.6,Y
IDCJAC0004,88023,2023,04,8.0,Y
IDCJAC0004,88023,2023,05,5.4,Y
IDCJAC0004,88023,2023,06,5.9,Y
IDCJAC0004,88023,2023,07,5.2,Y
IDCJAC0004,88023,2023,08,4.9,Y
