Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,088023,1993,01,28.2,Y
IDCJAC0002,088023,1993,02,26.6,Y
IDCJAC0002,088023,1993,03,23.3,Y
IDCJAC0002,088023,1993,04,21.8,Y
IDCJAC0002,088023,1993,05,15.9,Y
IDCJAC0002,088023,1993,06,12.2,Y
IDCJAC0002,088023,1993,07,12.4,Y
IDCJAC0002,088023,1993,08,14.7,Y
IDCJAC0002,088023,1993,09,16.9,Y
IDCJAC0002,088023,1993,10,18.6,Y
IDCJAC0002,088023,1993,11,22.4,Y
IDCJAC0002,088023,1993,12,24.5,Y
IDCJAC0002,088023,1994,01,27.0,Y
IDCJAC0002,088023,1994,02,28.3,Y
IDCJAC0002,088023,1994,03,23.6,Y
IDCJAC0002,088023,1994,04,21.2,Y
IDCJAC0002,088023,1994,05,16.1,Y
IDCJAC0002,088023,1994,06,13.3,Y
IDCJAC0002,088023,1994,07,12.6,Y
IDCJAC0002,088023,1994,08,13.3,Y
IDCJAC0002,088023,1994,09,15.1,Y
IDCJAC0002,088023,1994,10,20.2,Y
IDCJAC0002,088023,1994,11,22.4,Y
IDCJAC0002,088023,1994,12,30.0,Y
IDCJAC0002,088023,1995,01,28.7,Y
IDCJAC0002,088023,1995,02,29.0,Y
IDCJAC0002,088023,1995,03,24.1,Y
IDCJAC0002,088023,1995,04,17.8,Y
IDCJAC0002,088023,1995,05,15.2,Y
IDCJAC0002,088023,1995,06,12.9,Y
IDCJAC0002,088023,1995,07,10.6,Y
IDCJAC0002,088023,1995,08,15.6,Y
IDCJAC0002,088023,1995,09,16.5,Y
IDCJAC0002,088023,1995,10,19.4,Y
IDCJAC0002,088023,1995,11,22.5,Y
IDCJAC0002,088023,1995,12,24.3,Y
IDCJAC0002,088023,1996,01,27.7,Y
IDCJAC0002,088023,1996,02,26.1,Y
IDCJAC0002,088023,1996,03,24.7,Y
IDCJAC0002,088023,1996,04,18.0,Y
IDCJAC0002,088023,1996,05,16.7,Y
IDCJAC0002,088023,1996,06,12.5,Y
IDCJAC0002,088023,1996,07,11.6,Y
IDCJAC0002,088023,1996,08,13.2,Y
IDCJAC0002,088023,1996,09,16.1,Y
IDCJAC0002,088023,1996,10,20.5,Y
IDCJAC0002,088023,1996,11,21.0,Y
IDCJAC0002,088023,1996,12,24.7,Y
IDCJAC0002,088023,1997,01,29.6,Y
IDCJAC0002,088023,1997,02,32.5,Y
IDCJAC0002,088023,1997,03,24.1,Y
IDCJAC0002,088023,1997,04,21.8,Y
IDCJAC0002,088023,1997,05,16.3,Y
IDCJAC0002,088023,1997,06,14.3,Y
IDCJAC0002,088023,1997,07,12.4,Y
IDCJAC0002,088023,1997,08,12.8,Y
IDCJAC0002,088023,1997,09,17.2,Y
IDCJAC0002,088023,1997,10,21.2,Y
IDCJAC0002,088023,1997,11,25.0,Y
IDCJAC0002,088023,1997,12,28.6,Y
