Crops,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22 s,2022–23 f,
Area, 12.4, 10.2, 23.0, 18.5, 29.2, 74.5, 76.2, 92.2, 116.5, 205.0, 304.1, 260.7, 238.5, 247.8, 239.3, 284.2, 191.0, 178.5, 195.7, 284.7, 231.2, 323.5, 477.4, 589.2, 439.4, 483.3, 276.6, 326.6, 541.9, 414.4, 404.6, 493.9, 569.1, 600.0,
Production, 16.6, 9.5, 26.5, 23.5, 46.8, 56.7, 119.6, 131.6, 135.8, 257.4, 423.3, 379.7, 347.4, 176.7, 384.1, 342.5, 272.6, 42.0, 220.5, 233.2, 331.4, 476.2, 688.6, 866.2, 710.0, 558.7, 287.4, 632.7, 938.0, 510.7, 731.1,1 127.1,1 302.8,1 382.5,
