Crops,1989–90,1990–91,1991–92,1992–93,1993–94,1994–95,1995–96,1996–97,1997–98,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21,2021–22 s,2022–23 f
Area,952.3,911.5,664.1,821.2,779.9,821.8,853.4,962.6,856.8,948.6,1 234.6,1 142.6,1 136.4,1 238.9,1 409.2,1 327.0,1 314.6,1 347.3,1 514.0,1 533.6,1 801.1,1 793.1,1 668.9,1 591.9,1 535.8,1 492.7,1 341.5,1 454.2,1 446.8,1 402.9,1 428.9,1 413.4,1 444.6,1 500.0
Production,1 961.4,1 493.0,1 150.4,2 015.1,2 021.9,933.6,1 921.2,2 262.3,1 502.8,1 462.3,2 642.1,3 079.7,2 791.4,890.2,3 145.5,1 927.1,2 908.9,879.3,1 995.3,1 755.7,2 994.9,4 412.4,3 943.3,3 422.9,3 395.9,2 631.3,1 814.9,4 664.8,3 682.1,2 276.6,3 714.3,4 525.0,4 246.4,5 392.9
